adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/wmTBmCLPZSX5eAVAiBf8td8Hb9g.jpg,"[16, 35, 10751, 14, 12]",1497970,zh,猫和老鼠：星盘奇缘,"세기의 콤비 톰과 제리, 최초 3D 탄생! 마법의 나침반을 깨운 톰과 제리의 차원이동이 시작된다! 박물관 경비원으로 일하는 톰은 몰래 들어온 제리를 쫓다 우연히 마법의 황금나침반을 깨우게 되고, 신비로운 빛에 휩싸여 동양의 한 고대도시에 불시착한다 뜻밖의 차원이동을 하게 된 톰과 제리는 300년 동안 고대도시를 지켜온 봉황사부와 그의 친구들을 만나 기상천외한 모험을 시작하는데…! 황금나침반을 이용해 천계로 돌아가야 하는 봉황사부와 톰과 제리의 시공을 초월한 모험이 펼쳐진다!",110.8217,/fwtu3bazam69kAIlzilf4irGroX.jpg,2025-08-02,톰과 제리: 황금나침반 대소동,False,5.444,9
False,/5Q71GYwh2mOz5rr8tPTcvbeBWtN.jpg,"[18, 9648, 53]",1368166,en,The Housemaid,과거를 숨긴 채 완벽한 저택의 가정부로 들어간 밀리가 이상한 행동을 보이는 아내 니나와 그런 아내를 이해하는 모범적인 남편 앤드루와 얽히며 닫힌 문 뒤의 거짓과 마주하게 되는 월드 베스트셀러 원작의 고자극 미스터리 스릴러,91.7341,/fUDX16A4fJXmAuUA5t0pnqzXS0b.jpg,2025-12-18,하우스메이드,False,7.256,1369
False,/uzZ7LUx4Bb3nZXjvBx5PiqTE7rk.jpg,[28],1301306,en,A Woman Scorned,군생활의 트라우마를 안고 있는 자스. 그녀를 도우려는 여동생과 한적한 시골로 여행을 한다. 하지만 우연히 만난 로칼 갱단들의 공격으로 여동생은 참혹하게 살해당한다. 자스는 살인범들에게 피비린내 나는 복수를 시작한다.,83.9489,/k0H8SQjByFPTeeJsmQ6K6o9XrId.jpg,2025-06-09,복수는 악마처럼,False,6.346,13
False,/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,"[878, 53]",755898,en,War of the Worlds,"전설적인 동명 소설을 새롭게 재해석한 이번 작품은 거대한 침공의 서막을 알린다. 에바 롱고리아와 전설적인 래퍼이자 배우 아이스 큐브, 그리고 마이클 오닐과 이만 벤슨이 합류해, 기술과 감시, 사생활이라는 현대적 주제를 아우르는 짜릿한 우주급 모험을 선보인다.",91.8473,/yvirUYrva23IudARHn3mMGVxWqM.jpg,2025-07-29,우주전쟁,False,4.181,904
False,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,"[28, 35, 80, 9648]",1168190,en,The Wrecking Crew,"'더 레킹 크루'는 사이가 멀어진 이복형제의 이야기를 다룬다. 조니와 제임스는 아버지의 의문스러운 죽음 이후 다시 뭉치게 된다. 진실을 쫓는 과정에서 묻혀 있던 비밀들이 밝혀지고, 가족을 갈라놓을 수 있는 거대한 음모가 드러난다.",88.2853,/bG8BPNRoOvTC9wIos7DIH1YWOqN.jpg,2026-01-28,더 레킹 크루,False,6.934,723
False,/gaKFXcB5J1gz0QqYj8bWIfrPc04.jpg,"[28, 878, 12]",1242898,en,Predator: Badlands,"프레데터로서 존재를 증명하기 위해 우주에서 가장 위험한 행성으로 첫 사냥에 나선 덱. 죽음의 땅에 도사린 모든 것으로부터 공격을 받던 순간, 휴머노이드 티아를 만난다. 최상위 포식자 칼리스크에 맞서게 된 둘은 생존과 각자의 목적을 위해 극한의 사투를 벌이게 되는데…",89.2951,/8lpCbwbYh9SSzCFsHDndZHKrcD4.jpg,2025-11-05,프레데터: 죽음의 땅,False,7.718,2218
False,/hHDNOlATHhre4eZ7aYz5cdyJLik.jpg,"[27, 53, 878]",1272837,en,28 Years Later: The Bone Temple,"분노 바이러스로부터 격리된 섬 홀리아일랜드로 돌아가지 않고 본토에 남기로 한 스파이크, 감염자와 공존하며 살아가는 켈슨 박사, 정체불명 인간 집단의 리더 지미가 얽히고 설키며 벌어지는 이야기",98.1857,/ubgOSHAEhv1ds8BNHodhCcI13oH.jpg,2026-01-14,28년 후: 뼈의 사원,False,7.188,717
False,/vSQSYd2zZTqc0zmHImwWEGGluMI.jpg,"[10749, 18]",1316092,en,"""Wuthering Heights""","자유를 꿈꾸는 캐서린과 상처 입은 영혼 히스클리프, 서로에게 완전히 빠져든 두 사람의 치명적인 사랑을 담은 이야기",79.5161,/oDXVQRHTomnm9N569Pu2d38IubP.jpg,2026-02-11,“폭풍의 언덕”,False,6.488,428
False,/lNYympQM5O6QSInusbyG9eJDIe4.jpg,"[16, 28, 14]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"혈귀로 변해버린 여동생 네즈코를 인간으로 되돌리기 위해 혈귀를 사냥하는 조직인 《귀살대》에 입대한 카마도 탄지로. 입대 후 동료인 아가츠마 젠이츠, 하시비라 이노스케와 함께 많은 혈귀와 싸우고, 성장하면서 세 사람의 우정과 유대는 깊어진다. 탄지로는 《귀살대》 최고위 검사인 《주》와도 함께 싸웠다. 「무한열차」에서는 염주・렌고쿠 쿄쥬로, 「유곽」에서는 음주・우즈이 텐겐, 「도공 마을」에서는 하주・토키토 무이치로, 연주・칸로지 미츠리와 함께 혈귀를 상대로 격렬한 전투를 벌였다. 그 후 다가올 혈귀와의 결전에 대비해 귀살대원들과 함께 《주》가 주도하는 합동 강화 훈련에 참가해 훈련을 받던 도중 《귀살대》의 본부인 우부야시키 저택에 나타난 키부츠지 무잔. 어르신의 위기에 달려온 《주》들과 탄지로였지만, 무잔의 술수로 의문의 공간으로 떨어지고 말았는데. 탄지로 일행이 떨어진 곳, 그곳은 혈귀의 본거지 《무한성》─ “귀살대”와 “혈귀”의 최종 결전의 포문이 열린다.",87.1472,/m6Dho6hDCcL5KI8mOQNemZAedFI.jpg,2025-07-18,극장판 귀멸의 칼날: 무한성편,False,7.672,745
False,/w1Z1I9PqTK5UjG6RVAFXLCjp1Sw.jpg,"[878, 28, 53]",434853,en,Space/Time,,72.7122,/uje1ecKMnNpZp0at5TxlvVgVXqI.jpg,2025-05-01,Space/Time,False,5.786,35
